Time,Value,Week,1DayAgoValue,1HourAgoValue
2018-04-01 08:00:00,6.404999999911524,6,6.0,3.5950000000884756
2018-04-01 09:00:00,6.0,6,5.570999999996275,6.404999999911524
2018-04-01 10:00:00,5.578999999910593,6,6.015999999945052,6.0
2018-04-01 11:00:00,4.992000000085682,6,4.991999999969266,5.578999999910593
2018-04-01 12:00:00,6.015999999945052,6,6.016000000177883,4.992000000085682
2018-04-01 13:00:00,7.413000000058673,6,6.404999999911524,6.015999999945052
2018-04-01 14:00:00,5.0,6,6.0,7.413000000058673
2018-04-01 15:00:00,5.570999999996275,6,5.578999999910593,5.0
2018-04-01 16:00:00,6.015999999945052,6,6.016000000177883,5.570999999996275
2018-04-01 17:00:00,6.016000000061467,6,6.404999999911524,6.015999999945052
2018-04-01 18:00:00,6.975999999907799,6,6.586999999941327,6.016000000061467
2018-04-01 19:00:00,6.016000000177883,6,4.991999999969266,6.975999999907799
2018-04-01 20:00:00,6.404999999911524,6,6.016000000177883,6.016000000177883
2018-04-01 21:00:00,6.0,6,6.404999999911524,6.404999999911524
2018-04-01 22:00:00,5.578999999910593,6,4.603000000002794,6.0
2018-04-01 23:00:00,4.421000000089407,6,3.9679999999934807,5.578999999910593
2018-04-02 00:00:00,3.578999999910593,0,5.429000000003725,4.421000000089407
2018-04-02 01:00:00,4.421000000089407,0,2.5709999999962747,3.578999999910593
2018-04-02 02:00:00,3.578999999910593,0,4.032000000006519,4.421000000089407
2018-04-02 03:00:00,4.421000000089407,0,4.992000000085682,3.578999999910593
2018-04-02 04:00:00,3.578999999910593,0,4.404999999911524,4.421000000089407
2018-04-02 05:00:00,3.0080000000307336,0,3.5950000000884756,3.578999999910593
2018-04-02 06:00:00,4.413000000058673,0,4.404999999911524,3.0080000000307336
2018-04-02 07:00:00,5.0,0,3.5950000000884756,4.413000000058673
2018-04-02 08:00:00,5.0,0,6.404999999911524,5.0
2018-04-02 09:00:00,6.0,0,6.0,5.0
2018-04-02 10:00:00,13.0,0,5.578999999910593,6.0
