Time,Value,Week
2017-11-26 00:00:00,241.98400000005495,6
2017-11-27 00:00:00,181.42900000000373,0
2017-11-28 00:00:00,155.59500000008848,1
2017-11-29 00:00:00,152.0,2
2017-11-30 00:00:00,209.40499999991152,3
2017-12-01 00:00:00,189.57099999999627,4
2017-12-02 00:00:00,209.0240000000922,5
2017-12-03 00:00:00,332.99199999985285,6
2017-12-04 00:00:00,300.4130000000587,0
2017-12-05 00:00:00,331.0,1
2017-12-06 00:00:00,283.5950000000885,2
2017-12-07 00:00:00,388.99199999985285,3
2017-12-08 00:00:00,319.4130000000587,4
2017-12-09 00:00:00,267.5950000000885,5
2017-12-10 00:00:00,308.4049999999115,6
2017-12-11 00:00:00,336.0,0
2017-12-12 00:00:00,349.0,1
2017-12-13 00:00:00,363.0,2
2017-12-14 00:00:00,534.6030000000028,3
2017-12-15 00:00:00,264.3969999999972,4
2017-12-16 00:00:00,414.5789999999106,5
2017-12-17 00:00:00,473.0240000000922,6
2017-12-18 00:00:00,393.98399999993853,0
2017-12-19 00:00:00,409.4130000000587,1
2017-12-20 00:00:00,373.0,2
2017-12-21 00:00:00,307.5709999999963,3
2017-12-22 00:00:00,291.0079999999143,4
2017-12-23 00:00:00,354.4210000000894,5
2017-12-24 00:00:00,226.0,6
2017-12-25 00:00:00,171.0,0
2017-12-26 00:00:00,189.57099999999627,1
2017-12-27 00:00:00,316.4290000000037,2
2017-12-28 00:00:00,300.5950000000885,3
2017-12-29 00:00:00,262.9759999999078,4
2017-12-30 00:00:00,185.0240000000922,5
2017-12-31 00:00:00,172.40499999991152,6
2018-01-01 00:00:00,168.0,0
