AH_AnalogNo,AH_Time,AH_Value
19534,2017-01-03 09:36:45.000,776128
19534,2017-01-03 09:41:45.000,776129.024
19534,2017-01-03 09:46:45.000,776130.429
19534,2017-01-03 09:51:45.000,776131.008
19534,2017-01-03 10:01:45.000,776133.429
19534,2017-01-03 10:06:46.000,776134.016
19534,2017-01-03 10:11:46.000,776135.429
19534,2017-01-03 10:16:44.000,776136
19534,2017-01-03 10:21:43.000,776137.024
19534,2017-01-03 10:26:45.000,776138.429
19534,2017-01-03 10:31:45.000,776139.008
19534,2017-01-03 10:36:45.000,776140.032
19534,2017-01-03 10:41:44.000,776141.429
19534,2017-01-03 10:46:46.000,776142.016
19534,2017-01-03 10:51:46.000,776143.429
19534,2017-01-03 10:56:44.000,776144
19534,2017-01-03 11:01:45.000,776145.024
19534,2017-01-03 11:06:46.000,776146.429
19534,2017-01-03 11:11:45.000,776147.008
19534,2017-01-03 11:16:44.000,776148.429
19534,2017-01-03 11:21:45.000,776149.429
19534,2017-01-03 11:26:46.000,776150.016
19534,2017-01-03 11:31:46.000,776151.429
19534,2017-01-03 11:36:45.000,776153.024
19534,2017-01-03 11:41:45.000,776154.429
19534,2017-01-03 11:46:46.000,776155.008
19534,2017-01-03 11:51:46.000,776156.032
19534,2017-01-03 11:56:45.000,776157.429
19534,2017-01-03 12:06:44.000,776158.016
19534,2017-01-03 12:16:46.000,776160
19534,2017-01-03 12:21:44.000,776161.024
19534,2017-01-03 12:26:43.000,776162.429
19534,2017-01-03 12:31:44.000,776163.008
19534,2017-01-03 12:36:47.000,776164.429
19534,2017-01-03 12:46:43.000,776165.429
19534,2017-01-03 12:51:44.000,776166.016
19534,2017-01-03 12:56:44.000,776167.429
19534,2017-01-03 13:01:45.000,776168
19534,2017-01-03 13:06:45.000,776169.024
19534,2017-01-03 13:11:44.000,776170.429
19534,2017-01-03 13:16:45.000,776171.008
19534,2017-01-03 13:21:45.000,776172.032
19534,2017-01-03 13:31:45.000,776173.429
19534,2017-01-03 13:36:44.000,776174.016
19534,2017-01-03 13:41:47.000,776175.429
19534,2017-01-03 13:46:44.000,776176
19534,2017-01-04 01:01:44.000,776272
19534,2017-01-04 01:11:46.000,776273.024
19534,2017-01-04 01:26:47.000,776274.429
19534,2017-01-04 01:46:47.000,776275.008
19534,2017-01-04 02:01:47.000,776276.429
19534,2017-01-04 02:16:46.000,776277.429
19534,2017-01-04 02:36:46.000,776278.016
19534,2017-01-04 02:51:47.000,776279.429
19534,2017-01-04 03:06:47.000,776280
19534,2017-01-04 03:26:46.000,776281.024
19534,2017-01-04 03:41:45.000,776282.429
19534,2017-01-04 03:56:47.000,776283.008
19534,2017-01-04 04:16:45.000,776284.032
19534,2017-01-04 04:31:47.000,776285.429
19534,2017-01-04 04:46:45.000,776286.016
19534,2017-01-04 05:06:47.000,776287.429
19534,2017-01-04 05:21:45.000,776288
19534,2017-01-04 05:36:48.000,776289.024
19534,2017-01-04 05:56:46.000,776290.429
19534,2017-01-04 06:11:47.000,776291.008
19534,2017-01-04 06:26:47.000,776292.429
19534,2017-01-04 06:46:45.000,776293.429
19534,2017-01-04 06:56:48.000,776294.016
19534,2017-01-04 07:06:46.000,776295.429
19534,2017-01-04 07:11:46.000,776296
19534,2017-01-04 07:16:46.000,776297.024
19534,2017-01-04 07:26:47.000,776298.429
19534,2017-01-04 07:31:47.000,776299.008
19534,2017-01-04 07:41:46.000,776300.032
19534,2017-01-04 07:46:46.000,776301.429
19534,2017-01-04 07:56:47.000,776302.016
19534,2017-01-04 08:01:59.000,776303.429
19534,2017-01-04 08:11:57.000,776304
19534,2017-01-04 08:16:57.000,776305.024
19534,2017-01-04 08:26:58.000,776306.429
19534,2017-01-04 08:31:58.000,776307.008
19534,2017-01-04 08:41:57.000,776308.429
19534,2017-01-04 08:46:58.000,776309.429
19534,2017-01-04 08:56:58.000,776310.016
19534,2017-01-04 09:01:55.000,776311.429
19534,2017-01-04 09:06:58.000,776312
19534,2017-01-04 09:11:58.000,776313.024
19534,2017-01-04 09:16:58.000,776314.429
19534,2017-01-04 09:21:57.000,776315.008
19534,2017-01-04 09:26:58.000,776316.032
19534,2017-01-04 09:31:59.000,776317.429
19534,2017-01-04 09:41:57.000,776318.016
19534,2017-01-04 09:46:57.000,776319.429
19534,2017-01-04 09:51:56.000,776320
19534,2017-01-04 09:56:58.000,776321.024
19534,2017-01-04 10:01:57.000,776322.429
19534,2017-01-04 10:06:58.000,776323.008
19534,2017-01-04 10:11:56.000,776324.429
19534,2017-01-04 10:16:59.000,776325.429
19534,2017-01-04 10:26:57.000,776326.016
19534,2017-01-04 10:31:57.000,776327.429
19534,2017-01-04 10:36:56.000,776328
19534,2017-01-04 10:41:58.000,776329.024
19534,2017-01-04 10:46:58.000,776330.429
19534,2017-01-04 10:51:57.000,776331.008
19534,2017-01-04 10:56:56.000,776332.032
19534,2017-01-04 11:01:57.000,776333.429
19534,2017-01-04 11:11:56.000,776334.016
19534,2017-01-04 11:16:57.000,776335.429
19534,2017-01-04 11:21:57.000,776336
19534,2017-01-04 11:26:57.000,776337.024
19534,2017-01-04 11:31:56.000,776338.429
19534,2017-01-04 11:36:55.000,776339.008
19534,2017-01-04 11:41:56.000,776340.429
19534,2017-01-04 11:46:58.000,776341.429
19534,2017-01-04 11:51:57.000,776342.016
