AH_AnalogNo,AH_Time,AH_Value
19534,2018/3/29 22:32:23.000,884050.429
19534,2018/3/29 22:47:21.000,884051.008
19534,2018/3/29 23:02:23.000,884052.429
19534,2018/3/29 23:17:21.000,884053.429
19534,2018/3/29 23:32:22.000,884054.016
19534,2018/3/29 23:47:22.000,884055.429
19534,2018/3/30 00:02:23.000,884056
19534,2018/3/30 00:17:25.000,884057.024
19534,2018/3/30 00:32:22.000,884058.429
19534,2018/3/30 00:47:24.000,884059.008
19534,2018/3/30 01:02:22.000,884060.032
19534,2018/3/30 01:17:22.000,884061.429
19534,2018/3/30 01:32:26.000,884062.016
19534,2018/3/30 01:47:26.000,884063.429
19534,2018/3/30 02:02:27.000,884064
19534,2018/3/30 02:17:27.000,884065.024
19534,2018/3/30 02:32:22.000,884066.429
19534,2018/3/30 02:52:23.000,884067.008
19534,2018/3/30 03:02:22.000,884068.429
19534,2018/3/30 03:17:23.000,884069.429
19534,2018/3/30 03:32:21.000,884070.016
19534,2018/3/30 03:47:21.000,884071.429
19534,2018/3/30 04:02:22.000,884072
19534,2018/3/30 04:17:22.000,884073.024
19534,2018/3/30 04:32:22.000,884074.429
19534,2018/3/30 04:52:22.000,884075.008
19534,2018/3/30 05:02:23.000,884076.032
19534,2018/3/30 05:17:22.000,884077.429
19534,2018/3/30 05:32:22.000,884078.016
19534,2018/3/30 05:47:23.000,884079.429
19534,2018/3/30 06:02:22.000,884080
19534,2018/3/30 06:17:23.000,884081.024
19534,2018/3/30 06:32:22.000,884082.429
19534,2018/3/30 06:47:25.000,884083.008
19534,2018/3/30 06:57:25.000,884084.429
19534,2018/3/30 07:07:25.000,884085.429
19534,2018/3/30 07:17:26.000,884086.016
19534,2018/3/30 07:27:25.000,884087.429
19534,2018/3/30 07:37:21.000,884088
19534,2018/3/30 07:52:26.000,884089.024
19534,2018/3/30 08:02:26.000,884090.429
19534,2018/3/30 08:12:25.000,884091.008
19534,2018/3/30 08:22:24.000,884092.032
19534,2018/3/30 08:32:26.000,884093.429
19534,2018/3/30 08:42:25.000,884094.016
19534,2018/3/30 08:52:25.000,884095.429
19534,2018/3/30 09:02:25.000,884096
19534,2018/3/30 09:12:26.000,884097.024
19534,2018/3/30 09:22:25.000,884098.429
19534,2018/3/30 09:32:25.000,884099.008
19534,2018/3/30 09:42:25.000,884100.429
19534,2018/3/30 09:52:26.000,884101.429
19534,2018/3/30 10:02:26.000,884102.016
19534,2018/3/30 10:12:25.000,884103.429
19534,2018/3/30 10:22:23.000,884104
19534,2018/3/30 10:32:26.000,884105.024
19534,2018/3/30 10:42:24.000,884106.429
19534,2018/3/30 10:52:25.000,884107.008
19534,2018/3/30 11:02:27.000,884108.032
19534,2018/3/30 11:12:25.000,884109.429
19534,2018/3/30 11:22:26.000,884110.016
19534,2018/3/30 11:32:26.000,884111.429
19534,2018/3/30 11:42:29.000,884112
19534,2018/3/30 11:52:30.000,884113.024
19534,2018/3/30 11:57:28.000,884114.429
19534,2018/3/30 12:07:28.000,884115.008
19534,2018/3/30 12:17:30.000,884116.429
19534,2018/3/30 12:27:28.000,884117.429
19534,2018/3/30 12:37:29.000,884118.016
19534,2018/3/30 12:47:30.000,884119.429
19534,2018/3/30 12:57:31.000,884120
19534,2018/3/30 13:07:30.000,884121.024
19534,2018/3/30 13:17:30.000,884122.429
19534,2018/3/30 13:27:30.000,884123.008
19534,2018/3/30 13:37:31.000,884124.032
19534,2018/3/30 13:47:28.000,884125.429
19534,2018/3/30 13:57:27.000,884126.016
19534,2018/3/30 14:07:28.000,884127.429
19534,2018/3/30 14:17:27.000,884128
19534,2018/3/30 14:27:29.000,884129.024
19534,2018/3/30 14:37:28.000,884130.429
19534,2018/3/30 14:47:29.000,884131.008
19534,2018/3/30 14:57:28.000,884132.429
19534,2018/3/30 15:07:29.000,884133.429
19534,2018/3/30 15:17:29.000,884134.016
19534,2018/3/30 15:27:26.000,884135.429
19534,2018/3/30 15:37:28.000,884136
19534,2018/3/30 15:47:31.000,884137.024
19534,2018/3/30 15:57:29.000,884138.429
19534,2018/3/30 16:07:28.000,884139.008
19534,2018/3/30 16:22:29.000,884140.032
19534,2018/3/30 16:27:28.000,884141.429
19534,2018/3/30 16:37:30.000,884142.016
19534,2018/3/30 16:47:29.000,884143.429
19534,2018/3/30 16:57:28.000,884144
19534,2018/3/30 17:07:29.000,884145.024
19534,2018/3/30 17:17:32.000,884146.429
19534,2018/3/30 17:27:29.000,884147.008
19534,2018/3/30 17:42:27.000,884148.429
19534,2018/3/30 17:47:27.000,884149.429
19534,2018/3/30 17:57:28.000,884150.016
19534,2018/3/30 18:07:28.000,884151.429
19534,2018/3/30 18:17:29.000,884152
19534,2018/3/30 18:32:29.000,884153.024
19534,2018/3/30 18:42:28.000,884154.429
19534,2018/3/30 18:52:28.000,884155.008
19534,2018/3/30 19:02:31.000,884156.032
19534,2018/3/30 19:12:30.000,884157.429
19534,2018/3/30 19:22:30.000,884158.016
19534,2018/3/30 19:32:33.000,884159.429
19534,2018/3/30 19:37:28.000,884160
19534,2018/3/30 19:47:30.000,884161.024
19534,2018/3/30 19:57:29.000,884162.429
19534,2018/3/30 20:07:28.000,884163.008
19534,2018/3/30 20:17:30.000,884164.429
19534,2018/3/30 20:27:29.000,884165.429
19534,2018/3/30 20:37:31.000,884166.016
19534,2018/3/30 20:47:28.000,884167.429
19534,2018/3/30 21:02:29.000,884168
19534,2018/3/30 21:07:28.000,884169.024
19534,2018/3/30 21:17:36.000,884170.429
19534,2018/3/30 21:27:31.000,884171.008
19534,2018/3/30 21:37:29.000,884172.032
19534,2018/3/30 21:47:34.000,884173.429
19534,2018/3/30 21:57:30.000,884174.016
19534,2018/3/30 22:12:29.000,884175.429
19534,2018/3/30 22:27:33.000,884176
19534,2018/3/30 22:42:30.000,884177.024
19534,2018/3/30 22:57:31.000,884178.429
19534,2018/3/30 23:12:30.000,884179.008
19534,2018/3/30 23:27:34.000,884180.429
19534,2018/3/30 23:42:38.000,884181.429
19534,2018/3/30 23:57:34.000,884182.016
19534,2018/3/31 00:12:36.000,884183.429
19534,2018/3/31 00:27:43.000,884184
19534,2018/3/31 00:42:37.000,884185.024
19534,2018/3/31 01:07:35.000,884186.429
19534,2018/3/31 01:12:34.000,884187.008
19534,2018/3/31 01:22:36.000,884188.032
19534,2018/3/31 01:37:34.000,884189.429
19534,2018/3/31 01:52:33.000,884190.016
19534,2018/3/31 02:07:35.000,884191.429
19534,2018/3/31 02:27:35.000,884192
19534,2018/3/31 02:37:34.000,884193.024
19534,2018/3/31 02:52:36.000,884194.429
19534,2018/3/31 03:07:33.000,884195.008
19534,2018/3/31 03:22:34.000,884196.429
19534,2018/3/31 03:37:34.000,884197.429
19534,2018/3/31 03:52:35.000,884198.016
19534,2018/3/31 04:07:34.000,884199.429
19534,2018/3/31 04:22:34.000,884200
19534,2018/3/31 04:37:34.000,884201.024
19534,2018/3/31 04:52:35.000,884202.429
19534,2018/3/31 05:07:35.000,884203.008
19534,2018/3/31 05:22:36.000,884204.032
19534,2018/3/31 05:37:36.000,884205.429
19534,2018/3/31 05:52:36.000,884206.016
19534,2018/3/31 06:07:32.000,884207.429
19534,2018/3/31 06:22:31.000,884208
19534,2018/3/31 06:42:32.000,884209.024
19534,2018/3/31 06:52:32.000,884210.429
19534,2018/3/31 07:02:33.000,884211.008
19534,2018/3/31 07:12:32.000,884212.429
19534,2018/3/31 07:22:33.000,884213.429
19534,2018/3/31 07:32:33.000,884214.016
19534,2018/3/31 07:42:33.000,884215.429
19534,2018/3/31 07:52:32.000,884216
19534,2018/3/31 08:02:33.000,884217.024
19534,2018/3/31 08:12:31.000,884218.429
19534,2018/3/31 08:22:33.000,884219.008
19534,2018/3/31 08:32:32.000,884220.032
19534,2018/3/31 08:42:33.000,884221.429
19534,2018/3/31 08:52:33.000,884222.016
19534,2018/3/31 09:02:34.000,884223.429
19534,2018/3/31 09:12:36.000,884224
19534,2018/3/31 09:22:35.000,884225.024
19534,2018/3/31 09:32:34.000,884226.429
19534,2018/3/31 09:42:33.000,884227.008
19534,2018/3/31 09:52:34.000,884228.429
19534,2018/3/31 10:02:34.000,884229.429
19534,2018/3/31 10:12:34.000,884230.016
19534,2018/3/31 10:22:37.000,884231.429
19534,2018/3/31 10:37:34.000,884232
19534,2018/3/31 10:52:33.000,884233.024
19534,2018/3/31 10:57:34.000,884234.429
19534,2018/3/31 11:07:32.000,884235.008
19534,2018/3/31 11:17:35.000,884236.032
19534,2018/3/31 11:32:33.000,884237.429
19534,2018/3/31 11:37:34.000,884238.016
19534,2018/3/31 11:47:34.000,884239.429
19534,2018/3/31 11:57:34.000,884240
19534,2018/3/31 12:07:34.000,884241.024
19534,2018/3/31 12:17:35.000,884242.429
19534,2018/3/31 12:27:35.000,884243.008
19534,2018/3/31 12:37:35.000,884244.429
19534,2018/3/31 12:47:35.000,884245.429
19534,2018/3/31 12:57:34.000,884246.016
19534,2018/3/31 13:07:36.000,884247.429
19534,2018/3/31 13:17:37.000,884248
19534,2018/3/31 13:27:36.000,884249.024
19534,2018/3/31 13:37:38.000,884250.429
19534,2018/3/31 13:47:35.000,884251.008
19534,2018/3/31 13:57:37.000,884252.032
19534,2018/3/31 14:07:36.000,884253.429
19534,2018/3/31 14:17:35.000,884254.016
19534,2018/3/31 14:27:35.000,884255.429
19534,2018/3/31 14:37:36.000,884256
19534,2018/3/31 14:47:35.000,884257.024
19534,2018/3/31 14:57:36.000,884258.429
19534,2018/3/31 15:07:35.000,884259.008
19534,2018/3/31 15:17:36.000,884260.429
19534,2018/3/31 15:27:37.000,884261.429
19534,2018/3/31 15:37:36.000,884262.016
19534,2018/3/31 15:47:35.000,884263.429
19534,2018/3/31 16:02:40.000,884264
19534,2018/3/31 16:07:39.000,884265.024
19534,2018/3/31 16:17:39.000,884266.429
19534,2018/3/31 16:27:40.000,884267.008
19534,2018/3/31 16:37:39.000,884268.032
19534,2018/3/31 16:42:40.000,884269.429
19534,2018/3/31 16:52:40.000,884270.016
19534,2018/3/31 17:02:37.000,884271.429
19534,2018/3/31 17:12:41.000,884272
19534,2018/3/31 17:22:43.000,884273.024
19534,2018/3/31 17:32:41.000,884274.429
19534,2018/3/31 17:42:39.000,884275.008
19534,2018/3/31 17:52:40.000,884276.429
19534,2018/3/31 18:02:41.000,884277.429
19534,2018/3/31 18:12:39.000,884278.016
19534,2018/3/31 18:22:39.000,884279.429
19534,2018/3/31 18:32:40.000,884280
19534,2018/3/31 18:47:42.000,884281.024
19534,2018/3/31 19:07:41.000,884283.008
19534,2018/3/31 19:17:40.000,884284.032
19534,2018/3/31 19:27:40.000,884285.429
19534,2018/3/31 19:37:39.000,884286.016
19534,2018/3/31 19:47:40.000,884287.429
19534,2018/3/31 19:57:41.000,884288
19534,2018/3/31 20:07:41.000,884289.024
19534,2018/3/31 20:17:40.000,884290.429
19534,2018/3/31 20:27:40.000,884291.008
19534,2018/3/31 20:37:40.000,884292.429
19534,2018/3/31 20:47:39.000,884293.429
